简介,关键词
"1）数据为“一带一路”沿线国家2010年和2015年建设用地指数资料，又称建设用地率。它是指建设用地面积占土地总面积的比重，包括城乡住宅和公共设施用地，工矿用地，能源、交通、水利、通信等基础设施用地，旅游用地，军事用地等。
2）数据来源于国际统计网站knoema。用它统计的建设用地及相关土地的面积，除以国家陆地总面积的结果即得。
3）它反应了一个国家在陆地面积上的开发程度和基础设施建设开发的力度。同时它的值也与国家和地区经济发展水平、人口密度、城镇居民点密度、交通网密度等密切相关。在“一带一路”中国同各个国家协同发展中，它可以为国家政策，方案的策划与实施提供重要参考，从而加快各国经济发展。",“一带一路”;2010;2015;人文因素/自然资源;土地资源;土地利用
"本数据库依据能值理论分析对2008-2014年17个“一带一路”沿线典型国家（哈萨克斯坦、吉尔吉斯斯坦、塔吉克斯坦、乌兹别克斯坦、土库曼斯坦、蒙古、俄罗斯、巴基斯坦、孟加拉国、阿富汗、尼泊尔、泰国、缅甸、乌克兰、摩尔多瓦、白俄罗斯、阿塞拜疆）包括环境资源流量、自然资本存量、人类生产活动在内的各种生态经济资源的详细信息、商品和服务数据以太阳能值为基准进行计算、评估。数据库由3个表格构成，分别为主要资源能值分析表、主要资源类别综合能值流分析表和系统能值指标分析表。主要资源能值分析表中所有的能值转换率都根据GEB2016进行了更新。以数据库中的基础数据为依据，能有效计算包括基于能值的可持续性指数（Emergy-based sustainability index, ESI）在内的能值指标体系，并有根据性的给出分析结果产生的原因、解决方案及未来规划方向，对国家生态经济系统的发展具有重要意义，并为政府完善生态经济系统可持续发展决策提供科学依据。",泛第三极;可再生资源;太阳能;经济资源;2008-2014;人文因素/自然资源;可再生资源
"该数据记录了“一带一路”沿线65个国家1971-2014年人均用电量。数据来源：国际能源署（IEA , http://www.iea.org/stats/index.asp）。国际能源署从国家能源机构收集电力生产和消耗数据，并根据国际定义进行调整。数据报告为净消耗，而不是总消耗，净消耗不包括发电机组消耗的电量。对于除美国以外的所有国家，总用电量等于总净发电量加上电力进口量减去电力出口量减去配电损失。","经济资源;用电量;""一带一路”沿线国家;1971-2014;人文因素/自然资源;经济资源;用电量"
"该数据集记录了“一带一路”沿线65个国家1960-2017年商品进、出口数据。商品进口是从世界其他地方收到商品的到岸价格；商品出口是提供给世界其他地区的商品的离岸价格，以当前美元计价。数据来源：商品总进、出口量的数据来自世界贸易组织（WTO），该组织从国家统计局和国际货币基金组织的国际金融统计数据中获取数据，并辅以商品贸易数据库和区域组织、专门机构、经济集团、出版物或数据库（如欧盟统计局、食品和农业组织）。
数据集包含2个数据表：商品进口(现价美元)，商品出口(现价美元)。","""一带一路”沿线国家;1960-2017;人文因素/自然资源;经济资源;进口总额;经济资源;出口总额"
"该数据集记录了“一带一路”沿线65个国家1961-2015年农业用地等相关数据。农业用地是直接或间接为农业生产所利用的土地。又称农用地。包括耕地、园地、林地、牧草地、养捕水面、农田水利设施用地，以及田间道路和其他一切农业生产性建筑物占用的土地等。数据来源：联合国粮食农业组织（Food and Agriculture Organization, electronic files and web site）。
数据集包含2个数据表：农业用地(平方公里)，农业用地(占土地面积的百分比)。","""一带一路”沿线国家;1961-2015;人文因素/自然资源;经济资源"
"该数据集记录了“一带一路”沿线65个国家1960-2017年人均国民总收入等相关数据。人均国民总收入是指国民总收入除以年均人口，与人均国民生产总值（GNP）相等，与人均国内生产总值（GDP）大致相当。其中国民总收入是一个国家所有常住单位在一定时期内获得的劳动者报酬、生产税、补贴、固定资产折旧、营业盈余和财产收入等原始收入总额。数据来源：世界银行国民账户数据和经合组织国民账户数据文件（World Bank national accounts data, and OECD National Accounts data files.）。
数据集包含个4数据表：人均国民总收入(2010年不变价美元)，人均国民总收入(不变价本币单位)，人均国民总收入(现价本币单位)，人均国民总收入增长率(年百分比)。","""一带一路”沿线国家;1960-2017;人文因素/自然资源;经济资源;国民总收入"
"该数据集记录了“一带一路”沿线65个国家1960-2017年国民总支出等相关数据。国民总支出（以前是国内吸收）是家庭最终消费支出（以前的私人消费），一般政府最终消费支出（以前是一般政府消费）和总资本形成（以前的国内总投资）之和。数据来源：世界银行国民账户数据和经合组织国民账户数据文件(World Bank national accounts data, and OECD National Accounts data files.)。
数据集包含个5数据表：国民支出总额（2010年不变价美元），国民支出总额（不变价本币单位），国民支出总额（现价本币单位），国民支出总额（现价美元），国民支出总额（占国内生产总值的百分比）。","""一带一路”沿线国家;1960-2017;人文因素/自然资源;经济资源;国民支出总额"
"该数据集记录了“一带一路”沿线65个国家2000-2015年医疗保健支出相关数据。当前医疗保健支出的估计数包括每年消费的保健品和服务。数据来源：世界卫生组织全球医疗保健支出数据库（World Health Organization Global Health Expenditure database ,http://apps.who.int/nha/database）。
数据集包含2个数据表：当前人均医疗保健支出(现价美元)，当前医疗保健支出(占国内生产总值的百分比)。",“一带一路”;2000-2015;人文因素/自然资源;经济资源;医疗;经济资源
"该数据集记录了“一带一路”沿线65个国家1961-2016年谷物产量数据。数据来源：联合国粮食农业组织（Food and Agriculture Organization, electronic files and web site.）。这些数据由粮农组织通过年度调查问卷收集，并由官方二级数据进行补充。官方二级数据包括国家部委网站的官方国家数据、国家出版物和各国际组织报告的相关国家数据。
数据集包含2个数据表：谷物产量(公吨)，谷物产量(千克每公顷)。",泛第三极;1961-2016;人文因素/自然资源;农业资源;水稻;农业资源;小麦
"该数据集记录了“一带一路”沿线65个国家1961-2015年耕地相关数据。耕地包括联合国粮食农业组织定义的临时作物下的土地（复种区计算一次）、临时割草场或牧场、市场或厨房花园下的土地以及临时休耕的土地。不包括因轮作而废弃的土地。农业用地数据对于从不同角度研究农业生产、粮食安全以及确定作物种植强度等方面具有重要价值。农业用地指标和土地利用指标也可以说明各国农业实践的环境可持续性。数据来源：联合国粮食农业组织（Food and Agriculture Organization, electronic files and web site）。粮农组织通过问卷从国家官方来源收集到的数据，以官方二级数据作为补充。二级数据来源包括国家部委网站的官方国家数据、国家出版物和各国际组织报告的相关国家数据。
数据集包含3个数据表：耕地(公顷)，耕地(公顷每人)，耕地(占土地面积的百分比)。","""一带一路”沿线国家;1961-2015;人文因素/自然资源;经济资源;耕地面积"
"该数据集记录了“一带一路”沿线65个国家1960-2017年GDP、人均GDP、GDP增长率、人均GDP增长率等数据。数据来源：世界银行国民账户数据和经济合作与发展组织国民账户数据文件。
数据集包含9个数据表：国内生产总值(2010年不变价美元、不变价本币单位、现价本币单位、现价美元)，人均国内生产总值（不变价本币单位、现价本币单、现价美元），国内生产总值增长率(年百分比)，人均GDP增长率(年百分比)。","""一带一路”沿线国家;1960-2017;人文因素/自然资源;经济资源;GDP增速;经济资源;人均GDP"
"该数据集记录了“一带一路”沿线65个国家1960-2017年城市人口统计数据。数据来源：（1）联合国人口司，世界人口前景：2017、2018年修订；（2）国家统计局的人口普查报告和其他统计出版物；（3）欧盟统计局：人口统计；（4）联合国统计司，人口和生命统计报告（不同年份）；（5）美国人口普查局：国际数据库；（6）太平洋共同体秘书处：统计和人口统计方案。

数据集包含3个数据表：城市人口数，城市人口比例，城市人口增长率。",“一带一路”;1960-2017;人文因素/自然资源;人口;城市人口;人口;人口数量
"该数据集记录了“一带一路”沿线65个国家1960-2017年农村人口统计数据。数据来源：（1）联合国人口司，世界人口前景：2017、2018年修订；（2）国家统计局的人口普查报告和其他统计出版物；（3）欧盟统计局：人口统计；（4）联合国统计司，人口和生命统计报告（不同年份）；（5）美国人口普查局：国际数据库；（6）太平洋共同体秘书处：统计和人口统计方案。
数据集包含3个数据表：农村人口数，农村人口比例，农村人口增长率。",“一带一路”;1960-2017;人文因素/自然资源;人口;农村人口;人口;人口数量
"该数据集记录了“一带一路”沿线65个国家1960-2017年国民总收入等相关数据。国民总收入是一个国家所有常住单位在一定时期内获得的劳动者报酬、生产税、补贴、固定资产折旧、营业盈余和财产收入等原始收入总额。数据来源：世界银行国民账户数据和经合组织国民账户数据文件（World Bank national accounts data, and OECD National Accounts data files.）。
数据集包含个5数据表：国民总收入(2010年不变价美元)，国民总收入(不变价本币单位)，国民总收入(现价本币单位)，国民总收入(现价美元)，国民总收入增长率(年百分比)。",1960-2017;泛第三极;人文因素/自然资源;经济资源;国民总收入
"该数据集记录了“一带一路”沿线65个国家1960-2014年二氧化碳排放量数据。二氧化碳的排放是由化石燃料的燃烧和水泥的生产造成的。它们包括固体、液体、气体燃料和气体燃烧过程中产生的二氧化碳。数据来源：美国田纳西州橡树岭国家实验室环境科学部二氧化碳信息分析中心。美国能源部二氧化碳信息分析中心（CDIAC）根据化石燃料消耗数据（来自联合国统计司的世界能源数据集）和世界水泥制造数据（来自美国内政部的地质调查，美国地质调查局，2011年）计算年度人为排放量。
数据集包含2个数据表：二氧化碳排放量(kt)、二氧化碳排放量(人均公吨)。","""一带一路”沿线国家;1960-2014;人文因素/自然资源;环境影响;化石燃料燃烧"
"该数据集记录了“一带一路”沿线65个国家1961-2009年农业机械（拖拉机）数量等相关数据。农业机械是指在规定的日历年度末或者次年第一季度在农业上使用的轮式和履带式拖拉机（不包括园艺拖拉机）的数量。数据来源：联合国粮食农业组织（Food and Agriculture Organization, electronic files and web site）。农业机械减轻了劳动强度，减少苦役，缓解劳力短缺，提高农业活动的生产力和及时性，提高资源有效利用，增加进入市场机会，帮助减少气候相关危害，未来的农机将发挥更大的作用，有助于确保农业的环境可持续性。该数据集可用于农业现代化和农业生态环境等相关研究。
数据集包含2个数据表：农业机械（每100平方公里可耕地的拖拉机），农业机械（拖拉机数量）。",人文因素/自然资源;农业资源;农业机械;可用农业机械;“一带一路”沿线国家;1961-2009;人文因素/自然资源
"该数据记录了“一带一路”沿线65个国家1990-2017年劳动力总量。劳动力包括15岁及以上为特定时期内的商品和服务生产提供劳动力的人。它包括目前就业的人和失业但寻求工作的人以及首次求职者。数据来源：根据国际劳工组织、国际劳工统计局数据库和世界银行人口估计数据得出（Derived using data from International Labour Organization, ILOSTAT database and World Bank population estimates. Labor data retrieved in September 2018.）。该数据集反映了“一带一路”沿线国家的劳动力资源状况，是基本国情的重要组成部分，因而也是制定经济、社会发展战略的重要依据之一。",“一带一路”沿线国家;1990-2017;劳动力;人文因素/自然资源;人口;劳动力
"该数据集记录了“一带一路”沿线65个国家1990-2015年森林面积相关数据。数据来源：联合国粮食农业组织（Food and Agriculture Organization, electronic files and web site.）。联合国粮食农业组织提供有关森林覆盖率的详细信息，并对调整后的森林覆盖率进行估算，目前的调查采用统一的森林定义。该数据能够反映“一带一路”沿线国家的森林资源丰富程度，是确定森林经营和开发利用方针的重要依据之一。
数据集包含1个数据表：森林面积（平方公里）。",“一带一路”沿线国家;1990-2015;人文因素/自然资源;生物资源;森林资源
"该数据集记录了“一带一路”沿线65个国家1960-2017年人口序列数据，包括总人口数、人口密度和人口增长率。总人口数是生活在一定时间和一定地区范围的人口群的总和。人口密度是单位土地面积上的人口数量。人口增长率是一定时期内由人口自然变动和迁移变动而引起人口增长的比率。总人口数、人口密度和人口增长率是人口统计中最基本的指标，对于了解国情国力，制订人口计划和经济、社会发展计划，进行人口科学研究，都有十分重要的意义。数据来源：（1）联合国人口司，世界人口前景：2017、2018年修订；（2）国家统计局的人口普查报告和其他统计出版物；（3）欧盟统计局：人口统计；（4）联合国统计司，人口和生命统计报告（不同年份）；（5）美国人口普查局：国际数据库；（6）太平洋共同体秘书处：统计和人口统计方案。
数据集包含3个数据表：总人口数，人口密度，人口增长率，",“一带一路”沿线国家;1960-2017;人文因素/自然资源;人口;人口数量
"该数据集记录了“一带一路”沿线65个国家1960-2017年人口年龄构成，包括各个年龄组人口及其在总人口中所占的比重。数据来源：（1）联合国人口司，世界人口前景：2017、2018年修订；（2）国家统计局的人口普查报告和其他统计出版物；（3）欧盟统计局：人口统计；（4）联合国统计司，人口和生命统计报告（不同年份）；（5）美国人口普查局：国际数据库；（6）太平洋共同体秘书处：统计和人口统计方案。该数据集不仅反映了“一带一路”沿线国家未来人口发展的类型、速度和趋势等，而且还会对今后的社会经济发展产生一定作用。
数据集包含6个数据表：0-14岁人口总数，0-14岁人口比例，15-64岁人口总数，15-64岁女性人口比例，65岁及以上人口总数，65岁及以上人口比例",“一带一路”沿线国家;1960-2017;人文因素/自然资源;人口;年龄结构;人口;人口数量
"1、 数据内容：玉龙雪山白水1号冰川2008年-2017年冰川物质平衡数据
2、数据来源及加工方法：在玉龙雪山白水1号冰川海拔高度为4600m至4800m之间海拔每隔100m布设花杆。每年5月消融期初和8月消融期末各观测一次；连续观测间隔时间为7天，如遇大雾，大雨，大雪等特殊情况下，无法观测，则会推迟观测时间。物质平衡是冰川表面积累量与消融量的代数和，反映了冰川表面单位面积上相对于上一个物质平衡年末，冰面的物质平衡平均升降变化状况。根据野外观测数据，花杆观测单点物质平衡为：bn=bs+bi+bsi, bn、bi、bs、bsi:分别代表单点物质平衡、冰川冰、积雪和附加冰平衡值，将计算结果标在大比例冰川图及地形图上，以50m为间距在等高线范围内画出消融、积累值。此外，计算了4700m观测点处，每月花杆及雪坑消融积累的水当量。分别量测出每相邻两等高线间的积累和消融面积，然后逐步计算出冰川消融区冰川的纯积累量C和纯消融量A以及物质平衡值B。通过Arcgis软件利用空间插值方法绘制积消等值线图，实现对整个冰川物质平衡的计算。整条冰川的年净物质平衡B为: ??=Σ????（????/S??i）,式中:si 为两相邻等值线的投影面积；bi 为si 的平均净平衡；n为si 总数；S为冰川总面积。
3、数据质量描述：用卷尺测量不同位置的花杆在观测时的出露高度值，以及测杆的高度、附加冰厚度、积雪剖面和污化层深度等，其单位为毫米水当量（mm w.e.）,观测主要在消融期进行。在观测期间，有部分花杆倾倒或被雪覆盖，无法获取有效数据.
4、数据应用成果及前景：数据可为冰川动力学模式和模拟研究提供参数率定及验证。。",青藏高原;玉龙雪山;2008-2017;冰冻圈;冰川/冰盖;质量平衡
"1、	数据内容：云南省金沙江流域白水河站2018年月平均流量统计数据
2、	数据来源及加工方法：利用澳大利亚Unidata超声波流速传感器在设置的白水河水文断面自动测量河流流速，利用HOBO水位计所记录的水位数据，结合对应的水文断面面积数据，用流量与流速关系式计算公式，计算得出流量数据。
3、	数据质量描述：数据自动连续获取, 每隔2小时进行连续测量。
4、	数据应用成果及前景：数据可为冰川积雪-径流模型模拟等提供数据支持",青藏高原;玉龙雪山;2018;水文学;地表水;径流
中亚野外气象站观测数据集包括中亚10个野外气象站气温、降水、风向风速、相对湿度、气压、辐射、土壤热通量、日照时间和土壤温度等实地观测数据。10个野外站涵盖农田、森林、草地、沙漠、荒漠、湿地、高原、山地等不同生态系统类型。本数据集由地面气象观测站收集到的气象原始数据经筛查和审核后，进行格式转换后获得。数据质量良好。中亚地区气候类型多样，生态环境脆弱，气象灾害频繁，本数据集的建立对于开展长期的中亚生态环境监测、防灾减灾、中亚地区气候变化与生态环境等领域的研究提供了数据支撑，目前已经在中亚生态环境监测研究中获得了应用。,中亚;大气圈;大气温度;湿度;大气压力
中亚野外气象站观测数据集包括中亚10个野外气象站气温、降水、风向风速、相对湿度、气压、辐射、土壤热通量、日照时间和土壤温度等实地观测数据。10个野外站涵盖农田、森林、草地、沙漠、荒漠、湿地、高原、山地等不同生态系统类型。本数据集由地面气象观测站收集到的气象原始数据经筛查和审核后，进行格式转换后获得。数据质量良好。中亚地区气候类型多样，生态环境脆弱，气象灾害频繁，本数据集的建立对于开展长期的中亚生态环境监测、防灾减灾、中亚地区气候变化与生态环境等领域的研究提供了数据支撑，目前已经在中亚生态环境监测研究中获得了应用。,大气圈;中亚五国;2018-2019;自动气象站;大气温度;大气压力;大气圈
1)数据内容：数据包括老虎沟12号冰川2014-2018年年物质平衡；2）数据来源及处理方法：数据源于老虎沟12号冰川海拔每隔100m的花杆观测，观测从海拔5300-5100m，每隔海拔带有三根物质平衡花杆，每年5月及9月各观测一次，采用面积平均法计算整个冰川面物质平衡；3）数据质量描述：数据均为人工实地观测，且操作方法严格按照冰川学方法，具有高的可靠性；4）数据应用成果及前景，该数据已被多次用于冰川模拟的验证以及模型参数的率定，对大尺度冰川模拟的参数率定和验证具有很好的利用价值。,冰冻圈;冰川/冰盖;质量平衡
"本数据为祁连老虎沟大本营2014-2018年气象塔日志数据集，""老虎沟12号冰川10米气象塔位于大本营，海拔4200米，其观测要素包括气温、降水、风速、风向、相对湿度、气压、向下辐射、向上辐射、向下长波辐射、向上长波辐射，分辨率为日值，气象仪器经过中国气象局的标定和调试后，都与耐低温（-55℃）数据采集器CR1000（Campbell，美国）连接，数据质量完整，多篇文章成果的数据均来源于此数据，祁连山冰川融水哺育的河西走廊作为国家战略“一带一路”的重要通道，研究其变化对于甘肃、青海乃至全国都具有重大的影响，因此此数据具有极大的研究价值和应用价值。",老虎沟冰川;大气圈;降水;降水量;大气温度;空气温度;祁连山
本数据集为2014-2018青藏高原西大滩（XDT）气象要素数据集。气象要素包括：2m空气温度（℃）、2m空气湿度（%）、降水（mm）、2m风速（m/s）、总辐射（w/㎡）。降水观测采用T200B。数据来源于中国科学院青藏高原冰冻圈观测研究站位于青藏线西大滩的综合监测场（场点编号：XDTMS），数据根据原始监测数据（监测频率为每半小时一次）计算日均值，缺测部分或不满足计算日均值条件的以NAN表示。数据经过人工整理及校验，缺测时段为2017-7-7至2017-10-3。,大气圈;冰冻圈;冻土;大气圈
"本数据为RCP4.5情景下的月干燥指数数据集（Aridity Index, AI）。AI数据为降水与潜在蒸散发的比值。本数据由14个模式平均计算得到。这14个模式分别为：CanESM2；CCSM4；CNRM-CM5；CSIRO-Mk3-6-0；GISS-E2-R；HadGEM2-CC；HadGEM2-ES；inmcm4；IPSL-CM5A-LR；MIROC5；MIROC-ESM-CHEM；MIROC-ESM；MPI-ESM-LR；MRI-CGCM3。空间分辨率为全球2度*2度，时间分辨率为2020年1月-2099年12月。该数据集即可用于中亚大湖区未来干湿变化情景分析，也可用于全球其他区域在未来情景下的干湿过去和格局的分析。",大气圈;降水;大气温度;全球;2020年1月到2099年12月;大气圈;降水
"（1）数据提供了申扎站高寒草原观测场的空气温度（地面2米）、湿度、降水、气压、风速、辐射等关键气象要素的监测（2015年--至今）。中国科学院申扎高寒草原与湿地观测试验站是海拔4730米，是青藏高原第一个针对高寒草原建立的综合生态监测站。申扎生态监测站地处藏北腹地，位于冈底斯山和色林错之间，属南羌塘高原大湖盆地带，地势较缓，丘陵、高山与盆地相间。气候属于高原亚寒带半干旱季风气候区，紫花针茅群落是该区的优势群落。 
（2）数据由自动气象站采集，并进行了日均值处理；
（3）已对数据质量进行检查，所有数据均为原始数据；
（4）数据集可作为相关研究的基础数据使用。",申扎站;2015-2018;大气圈;湿度;降水;大气温度;大气圈
"青藏高原重大生态工程布局图集
主要包括林地保护与建设工程、草地保护与建设工程、沙化土地治理工程、水土流失综合治理工程等主要生态保护工程；数据来源：西藏、三江源、横断山区和祁连山的重大生态工程规划及厅级单位资料调研，包括西藏生态安全屏障保护与建设工程（一期，三类10项）、三江源自然保护区生态保护与建设工程（三类13项），横断山区各类生态保护建设工程（长江中上游防护林体系建设、天然林保护、退耕还林工程、长江中上游水土保持重点防治工程、川西北藏区退牧还草、川西北沙化土地治理工程）、祁连山生态保护与建设综合治理工程一期（4类16项）；加工方法：分类汇总，按照类型区域矢量化，形成以县级为单位的区域分布图。",生物圈;生态系统;草地生态系统;森林生态系统;草地;林地;沙化土地
青藏高原生态资产评估遥感反演基础数据集包括了青藏高原自2000年起年度的植被覆盖度(FVC)，净初级生产力(NPP)和叶面积指数(LAI)等基于遥感反演的生态参数，以供区域尺度生态资产评估研究使用。叶面积指数数据主要基于已有MODIS MCD15A2产品，通过基于TSF滤波的叶面积指数估算改进方法及尺度下推方法来完成。为了验证数据精度，在全国范围内均匀布设了746个样地，包括76个农田样点、47个草地样点、467个森林样点和156个灌木样点，均为在30米*30米样地内使用LAI-2000、LAI-2200或TRAC等专用设备获得。,青藏高原;生物圈;植被;植被盖度;2000-2017;叶面积指数;净初级生产力
数据包含青藏高原地区的土壤有机质数据，空间分辨率为1km*1km，时间覆盖范围为1979-1985年。数据来源是基于第二次土壤普查数据生成的土壤碳含量。土壤有机质主要来源于植物、动物及微生物残体，其中高等植物为主要来源。原始土壤中最早出现在母质中的有机体是微生物。随着生物的进化和成土过程的发展，动物、植物残体及其分泌物就成为土壤有机质的基本来源。数据对于分析青藏高原的生态环境以及衡量区域土壤特征具有重要意义。,土壤学;土壤;土壤有机物;青藏高原;1979-1985;遥感数据;遥感产品
数据包含青藏高原地区的夜间灯光数据，空间分辨率为1km*1km，时间分辨率为5年，时间覆盖范围为2000年、2005年、2010年。数据来自Version 4 DMSP-OLS产品，DMSP/OLS传感器独辟蹊径，采集的是夜间灯光、火光等产生的辐射信号。DMSP/OLS传感器在夜间工作，能探测到城市灯光甚至小规模居民地、车流等发出的低强度灯光，并使之区别于黑暗的乡村背景。因此，DMSP/OLS夜间灯光影像可作为人类活动的表征，成为了人类活动监测研究的良好数据源。,灯光;青藏高原;2000;2005;2010;遥感数据;遥感产品
青藏高原生态资产评估遥感反演基础数据集包括了青藏高原自2000年起年度的植被覆盖度(FVC)，净初级生产力(NPP)和叶面积指数(LAI)等基于遥感反演的生态参数，以供区域尺度生态资产评估研究使用。其中植被覆盖度数据以MODIS NDVI数据为主体，基于像元二分模型，利用多尺度遥感影像，结合植被群落类型、分布特征等高精度遥感参数，发展植被覆盖度模型，用混合像元分解法构建。精度验证估测值与实测值的RMSE为0.21，在样本值0-0.5之间均存在一定的高估情况。,青藏高原;遥感产品;植被覆盖度;2000-2017;遥感数据;遥感产品;生态遥感产品
青藏高原生态资产评估遥感反演基础数据集包括了青藏高原自2000年起年度的植被覆盖度(FVC)，净初级生产力(NPP)和叶面积指数(LAI)等基于遥感反演的生态参数，以供区域尺度生态资产评估研究使用。其中净初级生产力数据基于CASA模型的NPP估算方法完成。在某些极端或环境因子迅速变化的情况下，如果完全适应不可能，或者植物还来不及适应新的环境，NPP则受到最紧缺资源的限制，它们可以通过一个转换因子连接起来，这一转换因子可以是一个复杂的模型，也可以是一个简单的比率常数。,青藏高原;2000-2017;遥感数据;遥感产品;生态遥感产品
"中亚-西亚地区资源环境基础地理数据集主要包括6部分：中亚-西亚地区行政区划图、地形地貌图、水系图、年累积降水图、年平均温度图和潜在蒸散发分布图。其中行政区划图为最新的国家边界数据，地形地貌图DEM分辨率为90米，水系图为最新的一级河流矢量数据。年累积降水图和年平均温度图中降水和温度数据由长时间序列的站点数据插值得到，而潜在蒸散发分布图中的潜在蒸散数据是基于Penman-Monteith公式计算得到，降水、温度和潜在蒸散数据均由原始0.5°的CRU数据基于ArcGIS软件的双线性插值方法重采样为0.25°得到，且数据集经过严格的质量控制和一致性检查，相关研究(Deng and Chen, 2017; Li et al., 2017; Li et al., 2016)表明该数据集在中西亚地区对气候相关研究具有很好的适用性。数据由中国科学院新疆生态与地理研究所遥感与GIS重点实验室生产，生产费用由“中国科学院战略性先导科技专项XDA20030101资助”。",中亚西亚地区;1990-2016;基础地理;区划;行政界线;地形地貌;山体阴影
中亚沙漠油气田分布城镇分布数据，数据格式为“.shp”格式矢量数据。包括了中亚五国油气田及主要城镇居民点的分布。该数据由MODIS-MCD12Q产品提取裁切而成，该产品空间分辨率为500 m，时间分辨率为1年，其分类标准采用的是IGBP全球植被分类方案，该方案共分为17种土地覆被类型，其中城镇数据利用该分类方案中的建筑与城镇用地。该数据可为中亚地区沙漠油气田与绿城城镇风沙灾害评估和防治提供数据支撑。,LUCC数据;中亚;2012-2016;基础地理;区划;人文因素/自然资源;人口
阿姆河流域土地利用分布图包括1990年、2000年、2010年和2015年四期数据，由中国科学院新疆生态与地理研究所遥感与GIS重点实验室生产，数据空间分辨率为30m。数据生产费用由“中国科学院战略性先导科技专项XDA20030101资助”。阿姆河流域土地利用分布图是基于1990年、2000年、2010年和2015年TM、ETM遥感影像数据，基于去云、镶嵌与裁剪、拼接、阴影处理等预处理，借助eCognition软件进行面向对象的地类分类，实现软件自动分类和人工信息提取相结合，最后对分类结果进行人工检查与修正。土地利用类型二级类有25个，分别是水田、水浇地、旱地、有林地、灌木林地、疏林地、其他林地、高覆盖度草地、中覆盖度草地、低覆盖度草地、城镇用地、农村居民点、其他建设用地、机场用地、河渠、湖泊、水库坑塘、永久性冰川雪地、滩地、沙漠、戈壁、盐碱地、湿地、裸土地和裸岩石砾地。数据验证方式为野外实地验证和高精度影像验证两种方式，解译精度达到85％。,阿姆河;1990;2000;2010;2015;人文因素/自然资源;土地资源
基于环境敏感区指数（ESAI）方法，计算获得中西亚的栅格荒漠化风险数据。ESAI方法考虑土壤，植被，气候和管理质量，是监测荒漠化风险最广泛的方法之一。根据ESAI指标框架，选择了14个指标计算四个质量领域，每个质量指数均由几个指标参数计算获得。参考前人研究，确定每个参数分类及其阀值。然后，根据每个类别在荒漠化的敏感性中的重要性以及与荒漠化过程的开始或不可逆转的退化关系，把每个类别分配了1（最低敏感度）和2（最高敏感度）之间的敏感性得分。关于如何选取指标以及与荒漠化风险和得分相关性，在Kosmas的研究中提供了更全面的描述。主要指标数据集来源于联合国粮农组织的世界土壤数据，欧空局的土地覆盖数据和AVHRR数据。所有栅格数据集重采样到1km并合成年度值。尽管验证综合评估指数存在困难，但根据ESAI值的时空比较，对荒漠化风险进行了间接验证，包括对ESAI与稀疏植被和草地转变关系的定量分析和分析ESAI与植被净初级生产力之间的关系。验证结果表明中西亚地区的荒漠化风险数据精度可靠。,中亚西亚地区;2015;人文因素/自然资源;土地资源;风险评估;遥感数据;遥感产品
中亚-西亚地区典型流域荒漠化关键要素数据集由4部分组成，分别是阿姆河流域农用地分布及变化、阿姆河流域草地分布及变化、阿姆河流域灌丛分布及变化和阿姆河流域森林分布及变化，数据空间分辨率为30m。由中国科学院新疆生态与地理研究所遥感与GIS重点实验室生产，数据生产费用由“中国科学院战略性先导科技专项XDA20030101资助”。阿姆河流域荒漠化关键要素数据集由1990年、2000年和、2010年三期数据组成，是基于TM/ETM遥感影像解译获得。,中亚西亚地区;1990;2000;2010;遥感数据;遥感产品;生态遥感产品
中亚-西亚地区荒漠化关键要素数据集（阿姆河流域）主要包括：阿姆河流域湖泊分布图、植被覆盖度图和净初级生产力图，其中阿姆河流域湖泊分布图和植被覆盖度图空间分辨率为30m，时间分辨率为1990、2000和2010年三期；净初级生产力图空间分辨率为500m，时间分辨率为2001和2010年两期（由于1990年还没有发射MODIS卫星，所以没有1990年数据）。数据由中国科学院新疆生态与地理研究所遥感与GIS重点实验室生产，生产费用由“中国科学院战略性先导科技专项XDA20030101资助”。阿姆河流域湖泊分布和植被覆盖度数据是基于1990年、2000年和2010年TM/ETM遥感影像解译和计算得出。净初级生产力数据是基于MODIS影像数据计算的净初级生产力（NPP）年累计值。,阿姆河流域;1990;2000;2010;遥感数据;遥感产品;生态遥感产品
中亚地区荒漠化（土地沙化、盐渍化和植被退化）专题数据主要包括：中亚地区沙化土地分布图、中亚地区盐渍化土地分布图和中亚地区土地植被退化分布图，空间分辨率为1km，时间分辨率为年。中亚地区盐渍化土地分布图将盐渍化土地分为了轻度、中度、重度和极重度盐渍化土地四类。中亚地区土地植被退化分布图将植被退化状况分为了显著改善、轻微改善、稳定或无植被、轻微退化和显著退化五类。数据由中国科学院新疆生态与地理研究所遥感与GIS重点实验室生产，生产费用由“中国科学院战略性先导科技专项XDA20030101资助”。,中亚地区;2015;遥感数据;遥感产品;生态遥感产品;遥感产品
